candidate_id,rank,score,reasoning
CAND_0018499,1,0.995,"Senior Machine Learning Engineer with 7.2y AI/ML experience at Zomato; covers RecSys, Weaviate, Milvus; partial technical alignment."
CAND_0086022,2,0.9145,"Senior Applied Scientist with 5.3y AI/ML experience at Sarvam AI; covers RecSys, Elasticsearch, embeddings; strong retrieval/ranking stack alignment."
CAND_0078002,3,0.8607,Machine Learning Engineer with 6.3y AI/ML experience at Meta; covers Weaviate; strong retrieval/ranking stack alignment.
CAND_0039383,4,0.7823,"Applied ML Engineer with 7.1y AI/ML experience at Meesho; covers RecSys, Elasticsearch, FAISS; strong retrieval/ranking stack alignment."
CAND_0050454,5,0.7767,"AI Engineer with 6.8y AI/ML experience at Rephrase.ai; covers Qdrant, FAISS; strong retrieval/ranking stack alignment."
CAND_0091909,6,0.7661,"Machine Learning Engineer with 6.9y AI/ML experience at Rephrase.ai; covers OpenSearch, Qdrant, Pinecone; strong retrieval/ranking stack alignment."
CAND_0064326,7,0.7628,"Search Engineer with 7.6y AI/ML experience at Sarvam AI; covers Weaviate, Milvus; partial technical alignment."
CAND_0009691,8,0.76,"Applied ML Engineer with 6.2y AI/ML experience at LinkedIn; covers RecSys, FAISS, Qdrant; strong retrieval/ranking stack alignment. Concerns: notice 120d."
CAND_0006557,9,0.7592,"NLP Engineer with 7.9y AI/ML experience at Paytm; covers Weaviate, Elasticsearch, OpenSearch; strong retrieval/ranking stack alignment. Concerns: notice 120d."
CAND_0008425,10,0.7578,"Senior NLP Engineer with 7.8y AI/ML experience at Ola; covers RecSys, Qdrant; partial technical alignment."
CAND_0096142,11,0.755,"Applied ML Engineer with 5.0y AI/ML experience at upGrad; covers Weaviate, Pinecone; strong retrieval/ranking stack alignment. Concerns: notice 120d."
CAND_0037980,12,0.7527,Senior Applied Scientist with 9.0y AI/ML experience at Niramai; covers RecSys; strong retrieval/ranking stack alignment.
CAND_0077337,13,0.745,"Staff Machine Learning Engineer with 7.0y AI/ML experience at Paytm; covers RecSys, OpenSearch, Qdrant; partial technical alignment."
CAND_0033861,14,0.7438,"Senior NLP Engineer with 8.0y AI/ML experience at Mad Street Den; covers Weaviate, Elasticsearch, Milvus; partial technical alignment. Concerns: not open-to-work."
